name,id,tech/manufacturer,primaryRoleStr,customPrimary
,,,,
"台风超口径多级火药电磁混合动力榴弹炮",aEP_cap_sta_main,FSF制造,通用,
"标兵搭载雷达",aEP_cap_biaobing_radar,FSF制造,辅助,本舰所有与雷达朝向相同的非PD武器获得{%s}射程提升，中能量武器获得额外{%s}基础射程
"无光层多级加速器",aEP_cap_duiliu_main,FSF制造,通用,充能时，持续发射碎片流共造成大约{%s}点动能伤害，产生{%s}幅能
-无光层碎屑,aEP_cap_duiliu_main2,FSF制造,,
"黑星改转轮炮",aEP_cap_neibo_main,FSF制造,反装甲,击中装甲时，有百分之{%s}的概率造成额外{%s}点破片伤害
异象导弹,aEP_cap_nuanchi_missile,FSF制造,辅助,击中时，产生数个雷云产生电弧打击附近的敌方舰船，造成巨额穿越护盾的emp伤害
异象导弹雷云,aEP_cap_nuanchi_missile3,,,
巨型探矿脉冲,aEP_type28_cannon,unknown,工程设备,
瀑布弹射器,aEP_cru_pubu_main,,,
NGW-S04 新世代主战火炮,aEP_cru_pingding_main,FSF制造,反装甲,
NGW-R23 电磁投射器,aEP_cru_pingding_main2,FSF制造,反装甲,"弹丸可以穿过友军

弹丸属于导弹，可以被拦截"
NGW-G2 火箭增程炮,aEP_cru_pingding_main3,FSF制造,反装甲,"弹丸可以穿过友军

弹丸属于导弹，可以被拦截"
死海-激光测距仪,aEP_cru_pingding_lidardish,,,
"猎鲸 核动力鱼雷",aEP_cru_pingding_torpedo,FSF制造,反装甲,
热泉长程导弹发射舱,aEP_cru_requan_missile,FSF制造,反装甲,
热泉长程导弹发射系统,aEP_cap_requan_missile,FSF制造,反装甲,
巡航导弹发射装置,aEP_des_shendu_mk2_cruise_missile,FSF制造,终结,
洋脊弹幕炮,aEP_des_yangji_flak,FSF制造,,爆炸击中时，对每个目标造成一次{%s}额外破片伤害
内置炸弹抛洒器,aEP_des_lianliu_grenade_thrower,FSF制造,反装甲,
内置微型DEM,aEP_des_taodong_dem,FSF制造,通用,导弹在接近目标时会发射光束，在 %s 秒内造成约 %s 能量伤害。此伤害受导弹武器伤害效果影响，而不受能量武器伤害效果影响。
--光束,aEP_des_taodong_dem_payload,,,
"洄游导弹",aEP_fga_xiliu_mk2_missile,FSF制造,通用,
反冲力炮,aEP_fga_yonglang_main,FSF制造,反护盾,"击中护盾时，造成等同emp伤害的额外动能伤害,但额外部分只造成软幅能"
"沸腾激光器-聚焦",aEP_fga_xiliu_main,FSF制造,点防御,"击中时，产生电弧打击周围{%s}范围内最多{%s}个其他目标，每道造成{%s}点能量伤害

本武器在下线后会立刻修复

光束可以穿过友军"
"沸腾激光器-速射",aEP_fga_xiliu_main2,FSF制造,点防御,"击中时，对护盾造成硬幅能，对战机和导弹的伤害提高{%s}

本武器在下线后会立刻修复

光束可以穿过友军"
激光测距雷达,aEP_fga_chichao_lidardish,,,
威胁激光,aEP_fga_shuangshen2_lidardish,,,仅用于告诉AI潜在存在的威胁，并不实际造成伤害
战机指示器,aEP_fga_shuangshen_pointer,FSF制造,辅助,将内置战机引导到激光的落点
DF-2重型反应装甲,aEP_m_s_era3,FSF制造,点防御,"本武器附近的装甲单次受到超过{%s}或本舰装甲值{%s}倍的伤害时，会自动发射，同时本次伤害减少{%s}

本武器在下线后会立刻修复

本武器无法主动使用"
S-1巡航导弹弹片,aEP_cruise_missile_shot,FSF制造,,
S-2巡航导弹弹片,aEP_cruise_missile_shot2,FSF制造,,
"特斯拉电弧炮",aEP_des_yonglang_mk2_teslagun,FSF胡乱改造,辅助,击中舰船时，每秒产生{%s}道穿越护盾的电弧，每道造成{%s}点能量伤害和{%s}点emp伤害，同时降低目标{%s}的最大速度与机动性
热诱弹空雷,aEP_des_shuishi_flare,FSF制造,点防御,
被动热诱弹,aEP_m_s_flare,FSF制造,点防御,
战机热诱弹,aEP_m_s_flare2,FSF制造,点防御,
追踪热诱弹,aEP_m_s_flare3,FSF制造,点防御,
auto,aEP_empty,FSF制造,,
,,,,
,#小武器,,,
EB-300k多用途光束,aEP_e_s_300k,FSF制造,点防御,激光总伤害被分为{%s}束
630近防炮,aEP_b_s_630,FSF制造,点防御,
X20砰砰炮,aEP_b_s_pom,FSF制造,点防御,弹丸可以穿过友军
H-37反舰炮,aEP_b_s_h37,FSF制造,反装甲,
K-9机载轻机枪,aEP_ftr_sup_shield_gun,FSF制造,点防御,
,,,,
,,,,
,#中武器,,,
107型火箭炮,aEP_b_m_rk107,FSF制造,终结,"击中护盾时，造成双倍软幅能伤害

击中装甲时，弹丸伤害增加，增加量为目标最低装甲计算值的{%s}倍，最高为{%s}点"
HV7智能榴弹炮,aEP_b_m_hv7,FSF制造,通用,弹丸临近一艘护卫/驱逐舰时，分裂为{%s}颗子弹丸，单颗为{%s}点能量伤害，随机瞄准附近{%s}距离内的敌舰
--子弹丸,aEP_b_m_hv7_2,,,
ZT-125转膛自动炮,aEP_b_m_k125,FSF制造,反护盾,击中护盾时，有{%s}的概率额外造成等同于目标幅能容量{%s}的动能伤害
MB32多用途机炮,aEP_b_m_mb32,FSF制造,点防御,"所有弹丸都可以到达{%s}射程，但只有{%s}的弹丸可以到达全程

弹丸可以穿过友军"
GP-80高射炮,aEP_b_m_flak,FSF制造,点防御,"击中战机/导弹时，在短暂的延迟后造成额外{%s}点能量伤害

弹丸可以穿过友军"
H-88反舰炮,aEP_b_m_h88,FSF制造,反装甲,
,,,,
,,,,
,#大武器,,,
AA-40行星防空炮,aEP_b_l_aa40,FSF制造,反护盾,爆炸击中护盾时，有{%s}的概率额外造成等同于目标幅能容量{%s}的动能伤害
DG-3巨型机炮,aEP_b_l_dg3,FSF制造,终结,击中装甲彻底被破坏的部位时，额外移除目标{%s}的结构值
d100t-MBC,aEP_b_l_d100t,FSF制造,反护盾,"击中护盾时，有{%s}的概率额外造成等同于目标幅能容量{%s}的动能伤害

击中舰体时，弹丸的基础伤害降低{%s}，并额外造成{%s}点无视装甲减免的伤害"
,,,,
,,,,
,#导弹武器,,,
剪扩器导弹,aEP_m_s_expander,FSF制造,压制,
剪扩器导弹发射舱,aEP_m_m_expander,FSF制造,压制,
破门锥鱼雷,aEP_m_s_breachdoor,FSF制造,鱼雷,"击中护盾时，造成等同emp伤害的额外动能伤害，但额外部分只造成软幅能

本武器造成的过载最多持续{%s}秒"
破门锥鱼雷发射舱,aEP_m_m_breachdoor,FSF制造,鱼雷,"击中护盾时，造成等同emp伤害的额外动能伤害，但额外部分只造成软幅能

本武器造成的过载最多持续{%s}秒"
爆破锤导弹发射舱,aEP_m_m_blasthammer,FSF制造,终结,击中舰船时，导弹只造成相当于总伤害{%s}的动能伤害，并额外生成{%s}颗射流弹丸，每颗造成总伤害{%s}的破片伤害
巨型爆破锤导弹系统,aEP_m_l_blasthammer,FSF制造,终结,击中舰船时，导弹只造成相当于总伤害{%s}的动能伤害，并额外生成{%s}颗射流弹丸，每颗造成总伤害{%s}的破片伤害
--破片射流,aEP_m_m_blasthammer3,,,
可抛幅容管,aEP_m_s_fluxtube,FSF制造,辅助,"本武器无法主动使用

本舰幅能在{%s}以上时会自动发射，每颗减少{%s}幅能"
可抛幅容管发射舱,aEP_m_m_fluxtube,FSF制造,辅助,"本武器无法主动使用

本舰幅能在{%s}以上时会自动发射，每颗减少{%s}幅能"
气钉枪导弹,aEP_m_s_harpoon,FSF制造,反护盾,击中护盾时，造成{%s}的额外动能伤害，但额外部分只造成软幅能
气钉枪导弹发射系统,aEP_m_l_harpoon,FSF制造,反护盾,击中护盾时，造成{%s}的额外动能伤害，但额外部分只造成软幅能
冲击钻轰炸导弹,aEP_m_s_cluster,FSF制造,反装甲,
DF-1反应装甲,aEP_m_s_era,FSF制造,点防御,"本武器附近的装甲单次受到超过{%s}或本舰装甲值{%s}倍的伤害时，会自动消耗一颗备弹，同时本次伤害减少{%s}

本武器在下线后会立刻修复

本武器无法主动使用"
--反应装甲破片,aEP_m_s_era2,,,
"图钉集束磁吸炸弹",aEP_m_s_magnetmine,FSF制造,鱼雷,"弹丸临近时，分裂为{%s}个磁吸炸弹，每颗造成{%s}点高爆伤害

磁吸炸弹会被最近的敌方舰船吸引，包括相位中的舰船"
"图钉炸弹抛射舱",aEP_m_m_magnetmine,FSF制造,反装甲,"弹丸临近时，分裂为{%s}个磁吸炸弹，每颗造成{%s}点高爆伤害

磁吸炸弹会被最近的敌方舰船吸引，包括相位中的舰船

导弹的最终落点取决于发射时鼠标的位置"
破胎水雷发射舱,aEP_m_m_phasemine,FSF制造,反装甲,"导弹拥有极长的滞空时间，并且在引信触发前处于相位空间中没有碰撞体积

同场最多存在{%s}颗，已部署舰船中每存在一个此武器，同场数量上限增加{%s}"
--水雷上浮,aEP_m_m_phasemine2,,,
,,,,
,,,,
,,,,
,,,,
,,,,
H-23机载反舰炮,aEP_ftr_ftr_hvfighter_gun,FSF制造,反装甲,
K-14机载重机枪,aEP_ftr_ftr_helicop_lmg,FSF制造,反装甲,
撞针火箭巢,aEP_ftr_ftr_helicop_rocket,FSF制造,反护盾,
多用途微型长矛,aEP_ftr_icp_gunship_beam,FSF制造,通用,
导电体机枪,aEP_ftr_icp_gunship_gun,FSF制造,点防御,
H-12机载速射机炮,aEP_ftr_sup_guardian_gun,FSF制造,反装甲,
HVK狙击自动炮,aEP_ftr_sup_guardian_gun3,FSF制造,反护盾,
碎石坦克炮,aEP_ftr_sup_tank_main,FSF制造,反装甲,
防空烟雾弹,aEP_ftr_sup_tank_flak,FSF制造,点防御,
荡平反应炸弹,aEP_ftr_bom_nuke_bomb,FSF制造,反工事,
BAC爆射突击炮,aEP_ftr_bom_attacker_gun,FSF制造,反装甲,
拆解光束,aEP_ftr_ut_decompose_beam,FSF制造,辅助,击中残骸时，造成额外伤害，飞机返航后获得补给
磁吸炸弹,aEP_ftr_ut_shendu_mine,FSF制造,反装甲,磁吸炸弹会被最近的敌方舰船吸引，包括相位中的舰船
机载反舰长矛,aEP_ftr_ut_shendu_beam,FSF制造,反装甲,
锚点ADS系统-战机,aEP_ftr_ut_maodian_ads,FSF制造,点防御,"击中敌方可穿透导弹的弹丸时，降低其{%s}点伤害

弹丸属于导弹，可以被拦截"
锚点ADS系统-舰载,aEP_cru_maodian_ads,FSF制造,点防御,"击中敌方可穿透导弹的弹丸时，降低其{%s}点伤害

弹丸属于导弹，可以被拦截"
幅能转移光束,aEP_ftr_ut_supply_main,FSF制造,辅助,"击中舰船时，以{%s}的速度吸取目标幅能，转化为自身的硬幅能

如果目标正在激活不可耗散的战术系统，无法吸取任何幅能

对FSF的舰船效果更好"
修复光束,aEP_ftr_ut_repair_beam,FSF制造,辅助,"击中舰船时，维修{%s}+{%s}的装甲，最多恢复到满状态的{%s}

如果装甲修复完成，最多可以将结构值恢复到最满状态的{%s}

对FSF的舰船效果更好"
,,,,
,,,,
"德雷克喷火器",aEP_e_s_flamer,FSF胡乱改造,反装甲,
"Boom爆炸长矛",aEP_m_s_bomblance,FSF胡乱改造,反装甲,"本武器在靠近敌方舰船时会自动发射

本武器在下线后会立刻修复"
"闪电扰动机炮",aEP_b_m_lighting,FSF先进武器计划,反护盾,"击中护盾时，为目标施加一个可叠加的负面状态：

在接下来的{%s}秒内，每层增加目标的护盾维持消耗{%s}"
"海啸重型轨道火炮",aEP_b_l_railwaygun,FSF先进武器计划,通用,击中护盾造成目标过载时，弹丸会继续前进
,,,,
,,,,
,,,,
,,,,
